Constituent;Rock;Reference;H;He;Li;Be;B;C;N;O;F;Ne;Na;Mg;Al;Si;P;S;Cl;Ar;K;Ca;Sc;Ti;V;Cr;Mn;Fe;Co;Ni;Cu;Zn;Ga;Ge;As;Se;Br;Kr;Rb;Sr;Y;Zr;Nb;Mo;Ru;Rh;Pd;Ag;Cd;In;Sn;Sb;Te;I;Xe;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;W;Re;Os;Ir;Pt;Au;Hg;Tl;Pb;Bi;Th;U
Concentration;CI Chondrite;Palme and Beer (1993);20200;56;1.49;0.0249;0.69;32200;3180;465000;58.2;203;4982;96100;8490;106800;926;54100;698;751;544;9320;5.9;458;54.3;2646;1933;184300;506;10770;131;323;9.71;32.6;1.81;21.4;3.5;8.7;2.32;7.26;1.56;3.86;0.247;0.928;0.683;0.14;0.556;0.197;0.68;0.078;1.68;0.133;2.27;0.433;8.6;0.188;2.41;0.245;0.638;0.0964;0.474;0.154;0.058;0.204;0.0375;0.254;0.0567;0.166;0.0256;0.165;0.0254;0.107;0.0142;0.0903;0.0395;0.506;0.48;0.982;0.148;0.31;0.143;2.53;0.111;0.0298;0.0078
Units;CI Chondrite;Palme and Beer (1993);ppm;nL/g;ppm;ppm;ppm;ppm;ppm;ppm;ppm;pL/g;ppm;ppm;ppm;ppm;ppm;ppm;ppm;pL/g;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;pL/g;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;pL/g;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
Data Quality;CI Chondrite;Palme and Beer (1993);Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value
Concentration;E-MORB;McDonough and Sun (1995);;;3.5;;;;;;250;;;;;;620;;;;2100;;;6000;;;;;;;;;;;;;;;5.04;155;22;73;8.3;0.47;;;;;;;0.8;0.01;;;;0.063;57;6.3;15;2.05;9;2.6;0.91;2.97;0.53;3.55;0.79;2.31;0.356;2.37;0.354;2.03;0.47;0.092;;;;;;;0.013;0.6;;0.6;0.18
Units;E-MORB;McDonough and Sun (1995);;;ppm;;;;;;ppm;;;;;;ppm;;;;ppm;;;ppm;;;;;;;;;;;;;;;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;ppm;ppm
Data Quality;E-MORB;McDonough and Sun (1995);;;Recommended value;;;;;;Recommended value;;;;;;Recommended value;;;;Recommended value;;;Recommended value;;;;;;;;;;;;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;Recommended value;Recommended value
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Concentration;N-MORB;McDonough and Sun (1995);;;4.3;;;;;;210;;;;;;510;;;;600;;;7600;;;;;;;;;;;;;;;0.56;90;28;74;2.33;0.31;;;;;;;1.1;0.01;;;;0.007;6.3;2.5;7.5;1.32;7.3;2.63;1.02;3.68;0.67;4.55;1.01;2.97;0.456;3.05;0.455;2.05;0.132;0.01;;;;;;;0.0014;0.3;;0.12;0.047
Units;N-MORB;McDonough and Sun (1995);;;ppm;;;;;;ppm;;;;;;ppm;;;;ppm;;;ppm;;;;;;;;;;;;;;;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;ppm;ppm
Data Quality;N-MORB;McDonough and Sun (1995);;;Recommended value;;;;;;Recommended value;;;;;;Recommended value;;;;Recommended value;;;Recommended value;;;;;;;;;;;;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;Recommended value;Recommended value
Concentration;OIB;McDonough and Sun (1995);;;5.6;;;;;;1150;;;;;;2700;;;;12000;;;17200;;;;;;;;;;;;;;;31;660;29;280;48;2.4;;;;;;;2.7;0.03;;;;0.387;350;37;80;9.7;38.5;10;3;7.62;1.05;5.6;1.06;2.62;0.35;2.16;0.3;7.8;2.7;0.56;;;;;;;0.077;3.2;;4;1.02
Units;OIB;McDonough and Sun (1995);;;ppm;;;;;;ppm;;;;;;ppm;;;;ppm;;;ppm;;;;;;;;;;;;;;;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;ppm;ppm
Data Quality;OIB;McDonough and Sun (1995);;;Recommended value;;;;;;Recommended value;;;;;;Recommended value;;;;Recommended value;;;Recommended value;;;;;;;;;;;;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;Recommended value;Recommended value
Concentration;PM;McDonough and Sun (1995);;;1.6;;;;;;26;;;;;;95;;;;250;;;1300;;;;;;;;;;;;;;;0.635;21.1;4.55;11.2;0.713;0.063;;;;;;;0.17;0.005;;;;0.032;6.989;0.687;1.775;0.276;1.354;0.444;0.168;0.596;0.108;0.737;0.164;0.48;0.074;0.493;0.074;0.309;0.041;0.02;;;;;;;0.005;0.185;;0.085;0.021
Units;PM;McDonough and Sun (1995);;;ppm;;;;;;ppm;;;;;;ppm;;;;ppm;;;ppm;;;;;;;;;;;;;;;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;;;;;;ppm;ppm;;ppm;ppm
Data Quality;PM;McDonough and Sun (1995);;;Recommended value;;;;;;Recommended value;;;;;;Recommended value;;;;Recommended value;;;Recommended value;;;;;;;;;;;;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;;;;;;;Recommended value;Recommended value;;Recommended value;Recommended value
